Customer ID,Credit Limit,Gender,Education,Marriage Status,Age,Bill_Amount1,Bill_Amount2,Bill_Amount3,Pay_Amount1,Pay_Amount2,Pay_Amount3,Default payment next month
35,500000,male,post-graduate,married,58,13709,5006,31130,5006,31178,3180,0
36,160000,male,post-graduate,single,30,30265,-131,-527,131,396,396,0
37,280000,male,univeresity,married,40,186503,181328,180422,8026,8060,6300,0
38,60000,female,univeresity,single,22,15054,9806,11068,1500,1518,2043,0
39,50000,male,post-graduate,single,25,0,780,0,780,0,0,1
40,280000,male,post-graduate,single,31,498,9075,4641,9075,0,9976,0
41,360000,male,post-graduate,single,33,218668,221296,206895,10000,7000,6000,0
42,70000,female,post-graduate,single,25,67521,66999,63949,3000,4500,4042,0
43,10000,male,univeresity,single,22,1877,3184,6003,1500,2927,1000,0
44,140000,female,univeresity,married,37,59504,61544,62925,3000,3000,3000,0
45,40000,female,post-graduate,single,30,18927,21295,25921,3000,5000,0,0
46,210000,male,post-graduate,single,29,0,0,0,0,0,0,1
47,20000,female,post-graduate,single,22,14028,16484,15800,3000,0,16741,1
48,150000,female,high school,single,46,4463,3034,1170,1013,1170,0,1
49,380000,male,univeresity,single,32,22401,21540,15134,21540,15138,24677,0
50,20000,male,post-graduate,single,24,17447,18479,19476,1318,1315,704,0
51,70000,male,high school,single,42,37042,36171,38355,0,3100,2000,1
52,100000,female,high school,married,43,61559,51163,43824,2000,1606,1500,0
53,310000,female,univeresity,married,49,13465,7867,7600,7875,7600,11185,0
54,180000,female,post-graduate,single,25,41402,41742,42758,1300,2010,1762,0
55,150000,female,post-graduate,single,29,46224,34993,31434,1600,1718,1049,0
56,500000,female,post-graduate,married,45,1905,3640,162,3640,162,0,0
57,180000,female,high school,married,34,16386,15793,8441,8500,1500,7500,0
58,180000,female,univeresity,married,34,175886,173440,172308,8083,7296,5253,0
59,200000,female,post-graduate,single,34,1587,1098,782,0,0,700,0
60,400000,female,univeresity,married,29,400134,398857,404205,17000,15029,30000,0
61,500000,female,high school,married,28,22848,23638,18878,1516,1300,1000,1
62,70000,male,univeresity,married,39,70800,72060,69938,4025,2095,1000,0
63,50000,male,post-graduate,single,29,24987,24300,26591,0,2700,0,1
64,50000,female,univeresity,married,46,28718,29166,0,1000,0,0,1
65,130000,female,univeresity,married,51,99,0,0,0,0,0,0
66,200000,male,post-graduate,married,57,152519,148751,144076,0,0,8222,1
67,10000,male,univeresity,married,56,2097,4193,3978,2300,0,150,1
68,210000,female,post-graduate,single,30,300,300,1159,300,1159,2280,0
69,130000,female,high school,single,29,-190,-9850,-9850,0,0,20161,0
70,20000,male,high school,single,22,18565,17204,17285,0,1200,1000,0
71,80000,male,post-graduate,single,31,780,0,390,0,390,390,0
72,320000,male,univeresity,single,29,58267,59246,60184,2500,2500,0,1
73,200000,female,univeresity,married,32,9076,5787,-684,5818,15,9102,0
74,290000,female,post-graduate,single,37,0,0,3155,0,3155,0,0
75,340000,male,post-graduate,single,32,3048,5550,23337,5713,23453,4314,0
76,20000,male,univeresity,single,24,14619,17216,16642,2850,0,610,0
77,50000,male,high school,single,25,42838,37225,36087,1759,1779,320,0
78,300000,female,post-graduate,married,45,291,291,291,291,291,291,0
79,30000,female,univeresity,single,22,28387,29612,30326,1686,1400,560,1
80,240000,female,univeresity,single,44,0,0,0,0,0,0,1
81,470000,female,high school,married,33,165254,157784,162702,6400,7566,3000,0
82,360000,female,post-graduate,single,26,23411,27796,30400,4796,3400,3100,0
83,60000,male,high school,single,30,26324,27471,28108,1576,1213,648,1
84,400000,female,univeresity,married,44,131595,139060,126819,10700,3,3050,0
85,50000,female,high school,single,49,48909,47863,21489,1676,1302,700,0
86,160000,male,univeresity,single,33,130028,107808,71934,4400,3547,80000,0
87,360000,female,post-graduate,married,45,390,1170,780,1170,0,0,1
88,160000,female,univeresity,single,32,3826,4751,6604,1147,2000,2000,0
89,130000,female,post-graduate,married,35,81313,117866,17740,40000,5000,1330,0
90,20000,male,high school,single,44,8583,8303,9651,0,1651,1000,0
91,200000,male,post-graduate,married,53,138180,140774,142460,6300,5500,5500,1
92,280000,female,post-graduate,single,39,7524,0,3968,0,3968,0,0
93,100000,female,post-graduate,single,27,-2000,5555,0,7555,0,0,0
94,160000,female,univeresity,married,37,880,1602,840,1602,840,840,0
95,60000,female,univeresity,single,23,45648,46850,47214,1937,1301,682,0
96,90000,male,univeresity,single,35,83725,85996,87653,3621,3597,1179,0
97,360000,male,post-graduate,married,43,3967,8322,3394,8339,3394,12902,0
98,150000,male,post-graduate,single,27,86009,86108,89006,4031,10006,3266,0
99,50000,female,high school,married,22,18722,18160,16997,1411,1194,379,0
100,20000,male,univeresity,married,38,17973,19367,19559,1699,1460,626,1
101,140000,male,post-graduate,single,32,672,10212,850,10212,850,415,0
102,380000,female,post-graduate,single,30,-81,-303,32475,223,33178,1171,0
103,480000,male,post-graduate,married,63,422069,431342,479432,16078,55693,17000,0
104,50000,female,high school,single,22,44698,42254,38347,1767,1362,1002,1
105,60000,female,univeresity,single,26,56685,55208,59175,0,5000,2511,0
106,70000,female,univeresity,single,24,5580,0,0,0,0,0,0
107,80000,female,univeresity,married,36,6108,2861,3277,2861,3279,3319,0
108,350000,male,post-graduate,single,52,713,2272,722,2272,722,867,0
109,130000,male,univeresity,single,38,171438,178382,39940,10908,0,133657,0
110,360000,male,univeresity,married,35,-103,-103,-103,0,0,0,0
111,330000,female,post-graduate,married,31,105879,108431,105594,9260,0,3593,0
112,50000,male,high school,married,47,13244,14722,15181,2000,1000,1000,0
113,280000,male,univeresity,married,41,135673,138532,134813,6500,0,14254,0
114,100000,female,post-graduate,single,24,52128,52692,54477,2000,2677,3076,0
115,50000,male,univeresity,single,41,19015,19294,20259,1340,1305,700,0
116,30000,male,post-graduate,single,24,18199,17618,18631,0,1312,3000,1
117,240000,male,post-graduate,single,28,326,326,326,326,326,5676,0
118,80000,male,univeresity,single,26,14029,15493,16630,2000,1700,1000,1
119,400000,male,univeresity,married,34,19660,9666,11867,9677,11867,7839,0
120,240000,female,univeresity,single,38,50254,51445,53015,2000,3000,3000,0
121,50000,male,high school,single,37,46004,45976,48953,1000,4035,1000,1
122,450000,male,post-graduate,married,40,0,0,0,0,0,0,1
123,110000,female,post-graduate,married,48,0,0,0,0,0,0,0
124,310000,female,univeresity,married,35,304991,311243,306314,13019,11128,8407,1
125,20000,male,post-graduate,single,27,19115,18962,19298,1404,1130,600,0
126,20000,male,univeresity,single,23,0,0,0,0,0,0,0
127,200000,male,high school,single,52,110151,99530,98951,3568,3585,3602,0
128,180000,male,post-graduate,married,36,163736,116422,99278,4655,2690,2067,1
129,50000,male,univeresity,married,51,3347,3899,4503,1000,1066,1300,1
130,60000,male,high school,married,55,60521,61450,57244,2504,7,1200,0
131,30000,female,post-graduate,single,23,4000,5645,3508,5645,3508,27,0
132,240000,male,post-graduate,single,41,95,2622,3301,2622,3301,0,0
133,420000,male,univeresity,married,34,253454,247743,229049,9744,9553,7603,0
134,330000,male,high school,married,46,227389,228719,229644,8210,8095,8025,0
135,30000,female,univeresity,single,22,28452,26145,26712,2000,1400,0,0
136,240000,male,univeresity,married,34,10674,12035,13681,1500,1800,0,0
137,150000,male,post-graduate,single,27,17444,19342,22000,2500,3000,3000,0
138,210000,female,univeresity,married,33,7166,7997,8792,1500,1500,1000,0
139,50000,female,high school,married,51,752,300,5880,300,5880,0,1
140,50000,male,post-graduate,single,24,50801,50143,49586,2360,1700,1000,0
141,240000,male,post-graduate,single,47,0,0,0,0,0,0,1
142,180000,male,univeresity,single,28,1832,0,832,0,416,332,0
143,50000,male,univeresity,single,23,10131,10833,20583,1000,10000,400,0
144,170000,male,univeresity,single,29,12159,10000,10000,10000,10000,10000,0
145,20000,male,post-graduate,single,29,1199,15586,344,15586,344,2340,0
146,50000,male,post-graduate,single,28,4999,5913,7315,1000,1500,2000,0
147,170000,female,univeresity,single,27,19269,20313,20852,1661,1200,351,1
148,200000,male,post-graduate,single,34,197236,176192,93069,8000,5000,55500,0
149,80000,female,univeresity,married,23,9168,10522,10205,1650,0,0,0
150,260000,female,post-graduate,married,60,-1100,-1100,21400,0,22500,0,0
151,140000,male,univeresity,married,32,86627,78142,68336,3455,3110,5000,0
152,80000,male,post-graduate,single,25,42444,55744,43476,30000,3000,6000,0
153,350000,male,post-graduate,single,41,208,2906,1000,2906,1000,630,0
154,280000,female,univeresity,married,56,208775,182350,132257,8042,6700,5137,0
155,30000,female,high school,single,26,9014,10406,11427,1700,1500,1000,0
156,140000,male,post-graduate,married,34,23944,28049,32073,5000,5000,11885,0
157,200000,female,post-graduate,single,37,105420,102870,89643,4000,3250,3250,0
158,200000,female,high school,single,30,196031,196143,189524,7300,7108,7680,0
159,210000,male,high school,married,45,115785,122904,129847,10478,10478,11078,1
160,50000,male,high school,married,57,12854,12362,13447,0,1600,500,0
161,30000,male,post-graduate,single,41,24357,27453,26718,3500,0,2200,0
162,50000,male,univeresity,single,27,390,390,780,390,780,216,0
163,290000,male,high school,married,47,1234,396,396,396,396,792,0
164,250000,female,post-graduate,married,34,141223,156858,151841,17994,0,5469,0
165,60000,female,univeresity,married,46,21148,23803,24908,3000,1500,1500,0
166,110000,female,post-graduate,single,27,101640,104795,104855,5500,3900,3000,0
167,370000,male,post-graduate,single,50,6093,15130,8204,15383,8204,15413,0
168,100000,male,univeresity,married,27,102349,96847,58824,3166,0,1330,0
169,90000,female,univeresity,married,35,72112,73854,75526,3500,3500,3652,0
170,50000,female,univeresity,single,22,28040,29092,29366,1510,1442,982,0
171,270000,male,univeresity,single,37,37695,33397,30534,5000,2000,3000,0
172,300000,female,post-graduate,single,30,688,3280,0,3288,0,4340,0
173,50000,female,univeresity,single,22,8567,15273,11650,15000,1000,149,0
174,50000,female,post-graduate,single,24,-709,-709,-709,0,0,0,1
175,360000,male,post-graduate,single,29,0,0,77,0,77,0,0
176,130000,male,high school,married,56,64617,65978,67282,3000,3000,3000,1
177,80000,male,post-graduate,single,30,6187,100,600,504,500,1000,0
178,50000,male,univeresity,single,30,48860,47801,48363,0,1500,1000,0
179,20000,female,univeresity,single,22,16001,12622,13221,1212,1201,500,0
180,80000,female,univeresity,married,29,77883,81811,80250,5800,1000,600,0
181,240000,male,post-graduate,single,37,12212,26578,25331,15000,0,2000,0
182,80000,female,high school,single,35,49608,12412,14873,12500,6500,3000,0
183,500000,female,post-graduate,married,47,56422,110616,110340,70010,30357,30000,0
184,60000,female,univeresity,married,24,58024,57891,48839,2500,1600,3000,1
185,20000,male,univeresity,single,25,10642,11677,13070,1200,1593,601,0
186,100000,female,univeresity,married,38,14483,13961,15323,0,1600,1500,1
187,360000,female,post-graduate,single,32,2616,57077,5287,57087,5295,68454,0
188,200000,female,high school,single,47,199436,202947,193936,8214,7000,6800,1
189,130000,female,univeresity,married,34,0,5396,10270,5396,5000,3500,0
190,20000,female,univeresity,single,31,21703,21087,21461,0,1000,0,0
191,310000,male,post-graduate,single,32,59901,62147,62102,10020,6031,10057,0
192,60000,female,post-graduate,single,27,19625,20347,21669,1342,1664,2000,1
193,180000,female,post-graduate,single,29,11386,199,0,199,0,0,0
194,180000,female,post-graduate,single,24,14670,22087,21282,37867,0,200,0
195,50000,male,univeresity,married,36,47790,18114,18250,2000,1000,2000,0
196,50000,female,post-graduate,single,24,36166,37188,37680,1900,1400,1700,1
197,150000,female,univeresity,married,34,0,0,0,0,0,116,0
198,20000,female,post-graduate,single,22,18553,19446,19065,1500,1032,541,0
199,500000,female,post-graduate,married,34,412,138,2299,138,2299,1251,0
200,30000,female,high school,single,22,29010,29256,28122,1000,85,1714,1
201,180000,female,post-graduate,married,38,750,0,0,0,0,0,0
202,140000,male,post-graduate,single,31,27123,27299,17985,25000,0,3000,0
203,140000,female,post-graduate,single,26,13424,18000,13001,10000,13001,5841,0
204,120000,male,univeresity,single,26,107314,110578,113736,5000,5000,4152,0
205,360000,female,univeresity,married,48,226430,231878,234192,9100,7300,5800,0
206,20000,male,high school,married,43,227,20351,20237,22359,1305,1258,0
207,100000,male,post-graduate,married,47,390,1473,390,1473,390,390,0
208,210000,female,univeresity,married,41,3088,1586,343,1586,343,3763,1
209,80000,female,univeresity,single,24,81625,81554,79599,3200,3000,2038,1
210,330000,female,post-graduate,married,50,8872,4337,2854,4345,2854,1702,0
211,220000,male,post-graduate,single,24,105607,108917,111520,5000,5050,8303,0
212,210000,female,post-graduate,married,38,0,0,250,0,250,0,1
213,40000,female,high school,married,43,38257,38901,38103,1700,1504,1200,0
214,30000,male,univeresity,single,39,28347,28108,18388,3036,2309,0,0
215,470000,male,univeresity,single,27,296573,303320,307843,13000,11001,0,0
216,30000,male,high school,married,42,390,390,390,390,390,240,0
217,240000,female,univeresity,married,36,-946,-946,-946,0,0,0,1
218,80000,male,univeresity,single,36,79278,78501,78534,3100,3500,3400,0
219,110000,female,high school,married,31,89989,84229,79288,4000,5000,3000,0
220,310000,female,post-graduate,single,38,1424,4542,126,4542,126,0,0
221,360000,female,post-graduate,married,40,105167,115468,112157,12000,0,5900,1
222,330000,female,high school,single,45,335196,334954,335527,12388,12378,12116,0
223,300000,female,univeresity,single,35,291619,297268,205629,12019,9006,17000,0
224,320000,female,univeresity,single,33,91653,94037,108597,10042,18832,2117,0
225,50000,female,high school,single,37,52626,51537,49205,0,24,1500,1
226,170000,female,post-graduate,single,28,130370,131199,128900,6530,4860,22500,0
227,350000,male,high school,married,44,3265,2686,1864,2686,1864,569,0
228,20000,male,univeresity,married,37,16455,16511,18902,1609,3000,663,0
229,50000,male,univeresity,single,23,49758,48456,44116,2401,2254,2004,1
230,20000,female,high school,single,24,19154,18165,17233,0,1333,500,0
231,50000,female,post-graduate,single,24,35084,35796,30937,2090,2002,1002,0
232,20000,male,univeresity,single,23,20235,17132,16856,0,1200,1000,1
233,50000,male,univeresity,married,26,102800,0,0,0,0,2624,0
234,190000,male,univeresity,single,34,129801,131383,134379,5000,5000,10000,1
235,60000,female,univeresity,married,33,58203,36367,20934,1506,1298,1000,0
236,80000,male,post-graduate,single,35,7988,3977,6848,3983,6853,1719,0
237,150000,female,univeresity,single,27,127402,110050,51547,4500,1745,1566,0
238,210000,female,post-graduate,single,31,1440,0,7422,0,7422,893,0
239,240000,female,high school,married,50,234205,231669,214642,10116,9150,8008,1
240,140000,female,univeresity,married,41,19346,21708,22940,3000,2000,2198,1
241,60000,female,post-graduate,single,28,21501,20650,0,0,0,0,0
242,50000,male,post-graduate,single,39,47174,47974,48630,1800,2000,3000,0
243,50000,female,univeresity,single,27,26655,27724,28676,1800,1750,900,0
244,180000,female,post-graduate,single,32,3139,5853,2821,2821,0,0,0
245,30000,female,post-graduate,single,40,142,215,139,355,120,0,0
246,20000,female,univeresity,single,40,19816,20396,20102,1601,2203,2114,0
247,250000,female,univeresity,married,75,52874,1631,1536,1631,1536,1010,0
248,100000,female,univeresity,single,27,37767,34457,30036,1788,1799,1100,0
249,330000,male,post-graduate,single,25,46140,45781,48139,2504,4007,5056,0
250,50000,male,high school,married,46,35713,15392,16099,1561,1268,587,0
251,50000,female,univeresity,single,26,50867,51486,48869,1710,136,1206,0
252,30000,male,univeresity,single,28,29242,29507,29155,5006,1244,851,0
253,140000,female,univeresity,single,26,101551,105246,104781,5366,5087,3605,1
254,160000,female,post-graduate,single,28,70243,47779,28052,7042,2000,1000,0
255,400000,female,univeresity,single,29,19532,3719,1453,3127,1469,4968,0
256,50000,male,univeresity,married,25,27699,28513,29341,1565,1393,980,0
257,140000,female,univeresity,married,48,1154,1233,862,1233,1075,1355,0
258,160000,female,univeresity,married,33,8015,2453,9624,2453,9880,52572,0
259,100000,female,high school,married,43,62170,0,0,0,0,0,0
260,220000,male,post-graduate,married,48,210380,213522,201852,10000,9020,6000,1
261,510000,female,post-graduate,single,29,78331,99414,107686,40010,20094,5000,0
262,50000,male,univeresity,single,29,49276,35100,32563,1602,1400,3000,0
263,160000,female,post-graduate,married,38,4473,4664,5969,4664,5969,18941,0
264,230000,female,post-graduate,single,37,2283,50815,0,51315,0,0,0
265,80000,female,post-graduate,single,37,10115,249,5986,258,5995,188,0
266,150000,female,univeresity,married,25,6156,0,0,0,0,316,0
267,10000,male,high school,single,23,6974,7838,9002,1134,1298,478,0
268,130000,female,high school,single,49,89003,91362,72197,4100,3095,1630,1
269,40000,female,post-graduate,single,48,34871,34449,33634,1600,1600,1500,0
270,50000,male,univeresity,single,27,13694,14880,14242,1700,0,426,1
271,100000,male,high school,single,32,70003,31545,20974,2035,2004,616,0
272,120000,male,post-graduate,married,34,1082,632,1350,0,1350,0,0
273,260000,female,post-graduate,single,58,0,0,0,0,0,0,1
274,200000,female,univeresity,single,33,11253,12852,14024,2000,1322,2000,0
275,360000,female,univeresity,single,28,0,0,0,0,0,0,1
276,70000,female,univeresity,single,36,68699,69120,68376,4483,12496,3268,0
277,460000,male,post-graduate,married,40,171,2715,-13,2728,0,2654,1
278,50000,female,post-graduate,single,26,1156,316,316,316,316,316,0
279,50000,male,high school,married,33,50859,50462,50654,2007,2199,691,0
280,250000,female,univeresity,married,31,103109,102594,97109,4000,4500,5000,0
281,30000,female,post-graduate,single,27,1512,2458,664,1000,664,1500,0
282,270000,male,univeresity,married,44,127543,109189,92630,10063,5162,10150,0
283,180000,female,high school,single,30,163935,153152,147032,7722,6091,3563,0
284,100000,female,post-graduate,single,28,53494,52656,52600,4173,3000,2025,0
285,230000,female,high school,married,32,195126,88743,92195,5000,5000,5000,0
286,210000,female,post-graduate,married,46,110346,41986,21874,41986,21874,20076,0
287,210000,male,post-graduate,single,38,60502,62804,62769,3276,2026,2000,0
288,440000,female,univeresity,married,46,180641,181557,149944,8610,6907,3727,0
289,100000,female,univeresity,single,25,70896,71678,70125,3472,2092,2000,1
290,240000,female,univeresity,married,46,8751,9900,10605,1295,1000,1000,0
291,280000,male,post-graduate,single,33,898,898,325,898,325,898,1
292,50000,female,univeresity,single,22,0,0,0,0,0,0,1
293,30000,male,univeresity,married,43,1700,2610,1914,1100,0,300,0
294,10000,male,univeresity,single,27,7015,10227,9560,3507,0,500,1
295,130000,male,post-graduate,single,29,0,0,0,0,0,0,0
296,200000,male,post-graduate,single,31,194353,197344,186292,9000,7465,4715,0
297,120000,female,univeresity,married,29,1686,657,2179,657,2319,1423,0
298,210000,female,univeresity,married,36,143225,142996,144415,6483,5082,6000,0
299,280000,female,post-graduate,married,36,58983,60788,63225,2755,3463,1300,0
300,300000,male,post-graduate,single,34,0,0,13001,0,13001,0,1
301,100000,male,univeresity,single,37,99209,98222,67185,3490,2332,2314,0
302,440000,female,post-graduate,single,36,0,0,0,0,0,0,0
303,50000,female,high school,married,40,49941,51213,12104,2400,1206,1000,0
304,20000,female,post-graduate,single,25,11968,14564,27820,2800,0,4000,1
305,200000,female,post-graduate,single,27,871,665,960,665,960,3908,0
306,110000,female,univeresity,single,26,432,3220,5704,3220,5904,0,0
307,500000,female,univeresity,married,36,10483,23956,0,23962,0,8500,0
308,300000,female,univeresity,married,27,0,5215,0,5215,0,0,0
309,30000,male,high school,married,55,9720,10613,11339,1200,1200,2000,1
310,60000,female,post-graduate,single,27,20847,13801,14366,13809,14583,4889,0
311,400000,female,univeresity,married,38,3697,3600,1354,1000,1354,5322,0
312,180000,female,univeresity,married,34,143301,146333,147042,7000,5000,5000,0
313,20000,male,post-graduate,single,40,10934,13738,16567,3000,3100,0,0
314,200000,female,high school,married,49,52439,51040,56205,0,6000,0,1
315,100000,male,post-graduate,single,27,55734,52557,33415,1631,1286,200,0
316,60000,male,univeresity,single,23,49507,33282,34312,1970,2000,618,1
317,110000,female,univeresity,single,36,47819,48947,50330,2200,2500,2000,0
318,260000,female,high school,married,53,0,165,526,165,526,452,0
319,50000,female,high school,married,46,48522,50955,29516,3754,1,1070,0
320,180000,male,univeresity,single,29,-2,-2,-2,0,0,0,0
321,110000,male,univeresity,single,29,58362,56598,51908,2500,0,2000,1
322,340000,female,post-graduate,single,27,172180,180140,166281,21105,5461,5000,0
323,50000,male,univeresity,single,24,1399,2441,3865,1070,1500,3666,0
324,230000,female,univeresity,married,28,26361,18826,1100,1710,1100,1000,1
325,360000,female,univeresity,single,32,93029,94054,91834,10000,7000,10000,0
326,210000,male,univeresity,single,43,0,0,38013,0,38013,3000,0
327,220000,female,univeresity,married,41,650,650,325,325,0,950,1
328,60000,female,univeresity,married,34,24898,27976,27233,3800,0,3720,1
329,340000,male,univeresity,married,55,50396,44665,8300,44665,8321,2190,0
330,150000,male,post-graduate,married,40,99855,102586,100064,5200,0,8100,0
331,200000,female,univeresity,married,37,-179,505,189,1000,0,6900,1
332,130000,female,univeresity,single,40,9559,12394,11883,3000,0,500,1
333,60000,female,post-graduate,single,28,10540,10232,11237,0,1483,673,0
334,400000,female,univeresity,married,43,0,0,0,0,0,0,0
335,20000,male,post-graduate,single,27,20571,19089,19658,1323,1600,830,0
336,190000,female,post-graduate,single,28,143464,146943,151905,5795,7408,5645,0
337,260000,female,post-graduate,single,30,156882,160246,159988,10000,8000,6000,0
338,140000,female,univeresity,single,31,390,0,0,0,0,0,0
339,50000,female,univeresity,married,31,46512,47716,49675,1974,4406,1061,1
340,120000,female,post-graduate,single,34,882,6531,6313,6900,5037,1100,0
341,240000,female,univeresity,single,30,92,92,92,92,92,0,0
342,50000,male,univeresity,single,36,5916,6172,4123,1212,1200,0,0
343,200000,female,post-graduate,single,29,2393,183,4847,0,4872,20183,0
344,180000,male,post-graduate,married,39,274731,281713,242063,11000,145000,26000,0
345,180000,female,post-graduate,single,26,145403,138232,130553,5440,5051,3835,0
346,160000,female,post-graduate,single,29,3097,-707,-2697,0,0,5000,0
347,100000,female,univeresity,single,26,1370,4192,4159,4210,4159,1000,0
348,50000,female,univeresity,single,29,47081,49316,50409,3000,2000,2000,1
349,140000,female,univeresity,single,31,138119,137950,140254,6600,6500,5100,0
350,30000,female,univeresity,single,26,17893,19012,20123,1411,1522,621,1
351,90000,male,post-graduate,single,26,39128,20473,1940,1541,4200,0,0
352,200000,male,post-graduate,married,36,-14386,-13543,3432,10118,47015,0,0
353,380000,male,post-graduate,single,30,0,0,0,0,0,0,1
354,80000,female,univeresity,single,43,77057,78102,58501,3177,2600,3000,0
355,50000,male,high school,married,58,15899,18720,18122,3400,0,1000,0
356,180000,male,univeresity,married,45,27679,28422,29650,1481,2000,1100,1
357,240000,female,univeresity,single,26,141315,128940,124226,6349,5834,3870,0
358,380000,male,univeresity,single,34,194314,179206,193992,9010,35000,5000,0
359,110000,female,high school,single,24,83755,77431,79044,3000,2900,2900,0
360,260000,male,post-graduate,married,34,49657,291,51058,291,51058,35696,0
361,500000,female,univeresity,single,23,507726,509229,499936,10000,0,14000,1
362,320000,female,univeresity,single,30,71305,71151,72029,2589,2568,2570,0
363,50000,male,univeresity,single,32,45734,44741,43562,0,0,1262,0
364,110000,male,post-graduate,married,40,0,0,2066,0,2066,0,1
365,230000,female,post-graduate,single,35,761,300,399,300,399,665,0
366,330000,female,univeresity,married,56,-9,1520,1488,1529,1507,0,0
367,50000,female,univeresity,married,61,47166,49396,50476,3000,2237,975,0
368,10000,male,univeresity,single,24,2887,1923,2989,0,1500,0,0
369,300000,male,post-graduate,married,40,0,0,0,0,0,0,0
370,20000,female,univeresity,married,32,20631,20010,19703,0,1168,384,1
371,180000,male,univeresity,married,36,83538,0,0,0,0,0,1
372,160000,male,post-graduate,single,30,99,2977,15086,2977,15086,9123,0
373,90000,female,post-graduate,single,34,34302,35089,43449,1640,9000,0,0
374,30000,male,high school,married,54,22987,22298,22352,2500,2000,1500,0
375,180000,male,post-graduate,married,46,173267,174590,175233,8100,5299,3305,0
376,30000,male,high school,married,58,19143,20168,21229,1640,1700,915,0
377,30000,male,univeresity,married,43,20518,19901,20905,0,1342,946,0
378,140000,female,post-graduate,single,28,10833,14446,7609,14000,3855,4991,0
379,210000,male,post-graduate,single,30,69937,71906,43308,3500,3000,2000,0
380,50000,male,univeresity,single,31,20526,15129,15093,2000,3000,327,1
381,130000,female,univeresity,single,29,89055,90780,70947,4200,2575,2600,0
382,50000,female,univeresity,married,37,1894,3200,3381,1500,400,200,1
383,140000,male,high school,married,36,100594,78372,91502,3000,30000,4000,0
384,170000,female,univeresity,single,28,2948,3848,5646,1105,1903,0,1
385,80000,male,univeresity,single,25,22619,31429,27923,10010,1209,579,0
386,410000,female,high school,married,42,338106,342904,344464,15000,14000,9000,0
387,80000,female,post-graduate,single,29,0,80000,0,80000,0,0,0
388,80000,male,high school,married,73,63144,65631,68875,3500,4330,3500,1
389,150000,male,univeresity,married,43,153249,154049,156523,7900,6500,5700,0
390,260000,male,post-graduate,married,30,1131,291,582,291,582,0,1
391,350000,male,post-graduate,married,38,0,0,0,0,0,0,0
392,280000,female,univeresity,married,39,-1312,35918,37297,38621,2000,1130,1
393,310000,male,univeresity,married,44,103797,91989,87720,4400,4013,3011,0
394,140000,female,univeresity,single,29,20110,17102,18862,3000,3000,3000,0
395,360000,male,post-graduate,married,51,38000,25000,0,25000,0,0,0
396,140000,female,post-graduate,single,27,142428,144105,143952,10000,10000,6000,0
397,100000,male,post-graduate,single,38,40810,42653,42351,2502,1200,860,0
398,50000,female,univeresity,single,22,0,0,0,0,0,848,0
399,210000,female,univeresity,married,30,104701,106134,108423,4002,5000,3500,0
