Unnamed: 0,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
391,660,SBST,2,EXPRESS,3241.0,66489.0,-,-,15-15,-,No Loop
392,69,SBST,1,TRUNK,75009.0,75009.0,06-08,05-12,06-09,09-13,Bedok Nth Dr
393,6N,SBST,1,NIGHT SERVICE,2099.0,65201.0,-,-,-,30-30,No Loop
394,7,SBST,1,TRUNK,84009.0,17009.0,09-11,06-12,09-14,09-12,No Loop
395,7,SBST,2,TRUNK,17009.0,84009.0,09-11,07-14,07-12,08-13,No Loop
396,70,SBST,1,TRUNK,55509.0,3239.0,06-07,07-12,06-07,-,No Loop
397,70,SBST,2,TRUNK,3239.0,55509.0,08-12,07-13,07-09,09-09,No Loop
398,70A,SBST,1,TRUNK,55509.0,2171.0,-,-,-,15-15,Temasek Ave
399,70B,SBST,1,TRUNK,55101.0,66359.0,13-32,58-58,-,-,No Loop
400,70M,SBST,1,TRUNK,55509.0,55509.0,14-15,14-15,14-14,14-15,Temasek Ave
401,71,SBST,1,TRUNK,55509.0,55509.0,12-12,15-15,12-15,12-15,Bishan St 11
402,72,SBST,1,TRUNK,55509.0,75009.0,03-10,02-12,04-06,08-14,No Loop
403,72,SBST,2,TRUNK,75009.0,55509.0,05-08,02-12,02-07,04-13,No Loop
404,72A,SBST,1,TRUNK,55509.0,64549.0,11-48,-,-,-,No Loop
405,72B,SBST,1,TRUNK,55509.0,54481.0,02-03,02-04,-,-,No Loop
406,73,SBST,1,TRUNK,54009.0,54009.0,10-14,10-12,10-13,11-13,Lor 6 Toa Payoh
407,73A,SBST,1,TRUNK,54009.0,52009.0,-,-,-,10-10,Lor 6 Toa Payoh
408,74,SBST,1,TRUNK,64009.0,11379.0,05-13,04-14,05-10,09-13,No Loop
409,74,SBST,2,TRUNK,11379.0,64009.0,07-13,04-14,07-09,10-12,No Loop
410,74e,SBST,1,EXPRESS,64009.0,11379.0,15-15,-,-,-,No Loop
411,74e,SBST,2,EXPRESS,11379.0,64009.0,-,-,15-15,-,No Loop
412,76,SBST,1,TRUNK,55509.0,82009.0,10-11,11-14,10-14,14-15,No Loop
413,76,SBST,2,TRUNK,82009.0,55509.0,09-11,10-14,10-11,10-15,No Loop
414,7A,SBST,1,TRUNK,84009.0,9022.0,20-22,17-35,19-28,25-35,No Loop
415,7B,SBST,1,TRUNK,17009.0,8057.0,16-23,14-30,20-23,28-32,No Loop
416,8,SBST,1,TRUNK,75009.0,52009.0,04-07,04-13,06-08,07-14,No Loop
417,8,SBST,2,TRUNK,52009.0,75009.0,05-07,05-14,06-07,06-16,No Loop
418,80,SBST,1,TRUNK,67009.0,14009.0,05-16,08-18,13-17,13-17,No Loop
419,80,SBST,2,TRUNK,14009.0,67009.0,08-14,12-20,10-17,13-17,No Loop
420,800,SBST,1,FEEDER,59009.0,59009.0,05-07,05-08,05-06,05-09,Sembawang Rd
421,803,SBST,1,FEEDER,59009.0,59009.0,05-07,06-08,04-08,04-08,Yishun Ave 6
422,804,SBST,1,FEEDER,59009.0,59009.0,05-05,05-06,04-06,05-10,Yishun Ave 11
423,805,SBST,1,FEEDER,59009.0,59009.0,06-06,07-09,06-08,06-10,Yishun Ave 1
424,806,SBST,1,FEEDER,59009.0,59009.0,03-05,04-05,03-05,04-11,Yishun Ave 6
425,807,SBST,1,FEEDER,59009.0,59009.0,04-05,03-07,03-05,04-13,Yishun St 71
426,807A,SBST,1,FEEDER,59009.0,59569.0,05-31,05-05,-,-,No Loop
427,80A,SBST,1,TRUNK,67009.0,81089.0,12-28,16-27,-,-,No Loop
428,81,SBST,1,TRUNK,75009.0,75009.0,10-12,07-12,07-14,13-18,S'goon Ctrl
429,811,SBST,1,FEEDER,59009.0,59009.0,04-06,04-07,04-06,04-07,Yishun Ave 5
430,811A,SBST,1,FEEDER,59009.0,59159.0,-,-,04-16,08-25,Sembawang Rd
431,812,SBST,1,FEEDER,59009.0,59009.0,05-06,04-07,06-07,06-12,Yishun Ave 4
432,850E,SBST,1,EXPRESS,59581.0,3218.0,05-08,-,-,-,No Loop
433,850E,SBST,2,EXPRESS,3222.0,59579.0,-,-,15-15,-,No Loop
434,851,SBST,1,TRUNK,59009.0,10009.0,08-09,08-10,10-12,10-12,No Loop
435,851,SBST,2,TRUNK,10009.0,59009.0,09-10,08-12,08-09,10-11,No Loop
436,851e,SBST,1,EXPRESS,59009.0,5019.0,20-30,20-30,20-30,20-30,No Loop
437,851e,SBST,2,EXPRESS,5012.0,59009.0,20-20,20-30,20-20,30-30,No Loop
438,852,SBST,1,TRUNK,59009.0,43009.0,11-13,12-14,12-13,12-14,No Loop
439,852,SBST,2,TRUNK,43009.0,59009.0,12-13,12-14,12-13,12-13,No Loop
440,86,SBST,1,TRUNK,67009.0,54009.0,08-12,08-13,08-11,10-15,No Loop
441,86,SBST,2,TRUNK,54009.0,67009.0,11-14,08-13,08-12,10-17,No Loop
442,860,SBST,1,TRUNK,59009.0,59009.0,10-10,12-12,09-12,09-12,Ang Mo Kio Ave 8
443,87,SBST,1,TRUNK,67009.0,84009.0,04-07,03-14,04-09,04-17,No Loop
444,87,SBST,2,TRUNK,84009.0,67009.0,04-09,03-14,04-15,15-17,No Loop
445,88,SBST,1,TRUNK,77009.0,52009.0,06-09,06-13,07-10,08-13,No Loop
446,88,SBST,2,TRUNK,52009.0,77009.0,08-10,05-14,06-09,09-14,No Loop
447,88A,SBST,1,TRUNK,65069.0,54269.0,15-15,-,-,-,No Loop
448,88B,SBST,1,TRUNK,54261.0,66471.0,11-29,-,-,-,No Loop
449,89,SBST,1,TRUNK,64009.0,64009.0,07-12,07-15,09-16,14-16,Airport Cargo Rd
450,89A,SBST,1,TRUNK,77289.0,95039.0,26-34,-,-,-,Airport Cargo Rd
451,89e,SBST,1,EXPRESS,64009.0,95049.0,11-12,-,-,-,No Loop
452,89e,SBST,2,EXPRESS,95051.0,64009.0,-,-,12-12,-,No Loop
453,9,SBST,1,TRUNK,84009.0,84009.0,05-09,06-12,07-15,12-23,Airport Cargo Rd
454,90,SBST,1,TRUNK,52009.0,52009.0,17-19,10-26,9-16,19-32,Airport Rd
455,90A,SBST,1,TRUNK,52009.0,71189.0,13-46,17-17,-,-,Airport Rd
456,91,SBST,1,TRUNK,11379.0,11389.0,8-15,08-19,10-11,10-12,Ayer Rajah Cres
457,92,SBST,1,TRUNK,11009.0,11009.0,10-14,5-23,6-12,9-10,Science Pk Dr
458,92A,SBST,1,TRUNK,11009.0,11351.0,-,-,05-42,20-20,Science Pk Dr
459,92B,SBST,1,TRUNK,11009.0,18281.0,04-31,06-57,-,15-15,No Loop
460,92M,SBST,1,TRUNK,11009.0,11009.0,11-13,12-13,12-13,-,Nth Buona Vista Rd
461,93,SBST,1,TRUNK,14009.0,82009.0,13-15,10-18,11-14,14-19,No Loop
462,93,SBST,2,TRUNK,82009.0,14009.0,11-13,13-19,14-15,13-16,No Loop
463,94,SBST,1,TRUNK,82009.0,82009.0,9-24,9-26,14-17,14-14,Airport Rd
464,94A,SBST,1,TRUNK,82009.0,73019.0,11-12,-,-,-,Airport Rd
465,95,SBST,1,TRUNK,16009.0,16009.0,09-10,07-12,07-18,11-15,Holland Rd
466,95B,SBST,1,TRUNK,16009.0,11361.0,-,-,27-37,-,No Loop
467,99,SBST,1,TRUNK,17009.0,24009.0,06-07,05-12,05-09,08-12,No Loop
468,99,SBST,2,TRUNK,24009.0,17009.0,06-08,05-11,07-08,07-12,No Loop
469,9A,SBST,1,TRUNK,84009.0,98011.0,-,-,-,34-34,No Loop
470,CT18,SBST,1,FLAT FARE $2.00,84211.0,10499.0,-,28-38,-,-,No Loop
471,CT18,SBST,2,FLAT FARE $2.00,10499.0,84219.0,-,27-32,-,-,No Loop
472,CT8,SBST,1,FLAT FARE $2.00,55159.0,10499.0,-,11-36,-,-,No Loop
473,CT8,SBST,2,FLAT FARE $2.00,10499.0,55151.0,-,20-35,-,-,No Loop
474,110,SMRT,1,TRUNK,67759.0,67759.0,09-10,08-12,11-13,10-13,PTB2 Basement
475,167,SMRT,1,TRUNK,58009.0,10009.0,10,09-15,15-16,13-15,No Loop
476,167,SMRT,2,TRUNK,10009.0,58009.0,12-14,08-15,08-16,12-16,No Loop
477,167e,SMRT,1,EXPRESS,58009.0,3218.0,20-30,30,30,30,No Loop
478,167e,SMRT,2,EXPRESS,3223.0,58009.0,30,30,20-30,20-30,No Loop
479,169,SMRT,1,TRUNK,46009.0,54009.0,02-08,05-09,06-07,10,No Loop
480,169,SMRT,2,TRUNK,54009.0,46009.0,06-08,05-09,05-07,06-10,No Loop
481,169A,SMRT,1,TRUNK,46009.0,59073.0,17,-,-,-,No Loop
482,169B,SMRT,1,TRUNK,46009.0,46711.0,33,-,-,-,No Loop
483,171,SMRT,1,TRUNK,59009.0,2089.0,10-13,10-14,10-15,11-15,No Loop
484,171,SMRT,2,TRUNK,2099.0,59009.0,10-11,10-13,10-11,11-13,No Loop
485,172,SMRT,1,TRUNK,44009.0,22009.0,06-07,05-14,07-09,10-12,No Loop
486,172,SMRT,2,TRUNK,22009.0,44009.0,06-07,05-14,07-09,09-14,No Loop
487,176,SMRT,1,TRUNK,45009.0,10009.0,06-09,06-11,10-11,09-15,No Loop
488,176,SMRT,2,TRUNK,10009.0,45009.0,08-09,07-12,07-08,08-13,No Loop
489,178,SMRT,1,TRUNK,46009.0,22009.0,06-14,07-15,14-16,14-17,No Loop
490,178,SMRT,2,TRUNK,22009.0,46009.0,14-15,12-15,14-15,15-17,No Loop
491,178A,SMRT,1,TRUNK,46009.0,45139.0,14-42,-,-,-,No Loop
492,180,SMRT,1,TRUNK,22009.0,22009.0,04-09,08-13,05-11,10-12,Bt Panjang Rd
493,180A,SMRT,1,TRUNK,22009.0,44259.0,-,-,24-52,10,No Loop
494,184,SMRT,1,TRUNK,481.0,481.0,06-08,06-09,06-09,07-11,C'wealth Ave West
495,187,SMRT,1,TRUNK,46009.0,22009.0,07-09,05-11,07-13,09-13,No Loop
496,187,SMRT,2,TRUNK,22009.0,46009.0,06-08,06-10,06-09,07-13,No Loop
497,188,SMRT,1,TRUNK,44009.0,14009.0,05-10,07-16,07-13,13-14,No Loop
498,188,SMRT,2,TRUNK,14009.0,44009.0,09-14,07-16,07-08,08-14,No Loop
499,188e,SMRT,1,EXPRESS,44009.0,14009.0,15,-,-,-,No Loop
500,188R,SMRT,1,EXPRESS,44009.0,14519.0,35,30-35,30-33,27-31,No Loop
501,188R,SMRT,2,EXPRESS,14519.0,44009.0,-,30-33,28-33,30-33,No Loop
502,190,SMRT,1,TRUNK,44009.0,10499.0,02-05,04-07,06-07,07-11,No Loop
503,190,SMRT,2,TRUNK,10499.0,44009.0,08-11,04-07,04-06,05-08,No Loop
504,190A,SMRT,1,TRUNK,44009.0,8057.0,04-24,-,-,-,No Loop
505,300,SMRT,1,FEEDER,44009.0,44009.0,04-05,03-06,04,04-10,Choa Chu Kang Ave 3
506,301,SMRT,1,FEEDER,44009.0,44009.0,06-08,06-09,06-08,07-10,Keat Hong Cl
507,302,SMRT,1,FEEDER,44009.0,44009.0,03-05,04-06,04-06,06-10,Choa Chu Kang Cres
508,302A,SMRT,1,FEEDER,45321.0,45329.0,06-13,-,06-24,-,No Loop
509,307,SMRT,1,FEEDER,44009.0,44009.0,05-07,04-09,06-07,07-12,Choa Chu Kang St 62
510,307,SMRT,2,FEEDER,0.0,0.0,05-07,04-09,06-07,07-12,Choa Chu Kang St 62
511,307A,SMRT,1,FEEDER,44009.0,44531.0,10-15,10-32,10-12,10-34,Choa Chu Kang St 62
512,61,SMRT,1,TRUNK,43009.0,82009.0,07-09,09-14,10-13,10-15,No Loop
513,61,SMRT,2,TRUNK,82009.0,43009.0,08-13,09-15,08-15,11-15,No Loop
514,653,SMRT,1,CITY_LINK,43811.0,3391.0,10,-,-,-,No Loop
515,653,SMRT,2,CITY_LINK,3539.0,43268.0,-,-,15,-,No Loop
516,656,SMRT,1,EXPRESS,58121.0,3218.0,10,-,-,-,No Loop
517,656,SMRT,2,EXPRESS,3241.0,58129.0,-,-,15,-,No Loop
518,657,SMRT,1,CITY_LINK,28539.0,3391.0,15,-,-,-,No Loop
519,657,SMRT,2,CITY_LINK,3539.0,28531.0,-,-,15,-,No Loop
520,67,SMRT,1,TRUNK,44009.0,75009.0,06-09,07-12,08-11,09-13,No Loop
521,67,SMRT,2,TRUNK,75009.0,44009.0,07-09,06-11,08-12,09-12,No Loop
522,67A,SMRT,1,TRUNK,44009.0,41049.0,-,77,-,-,No Loop
523,67W,SMRT,1,TRUNK,75009.0,40011.0,-,77,-,-,No Loop
524,700,SMRT,1,TRUNK,481.0,3218.0,04-10,10-13,10-12,-,No Loop
525,700,SMRT,2,TRUNK,3239.0,481.0,13,09-13,10-11,11,No Loop
526,700A,SMRT,1,TRUNK,481.0,481.0,11-12,11-12,12,10-13,Temasek Ave
527,75,SMRT,1,TRUNK,481.0,2089.0,04-09,08-14,11-14,13-16,No Loop
528,75,SMRT,2,TRUNK,2099.0,481.0,09-12,07-13,08-15,13-15,No Loop
529,75A,SMRT,1,TRUNK,481.0,12099.0,-,-,-,-,No Loop
530,825,SMRT,1,TRUNK,55509.0,55509.0,08-11,10-20,09-13,09-10,Lentor Loop
531,853,SMRT,1,TRUNK,59009.0,80009.0,10-14,09-15,10-15,14-18,No Loop
532,853,SMRT,2,TRUNK,80009.0,59009.0,10-14,10-16,10-13,16-18,No Loop
533,853C,SMRT,1,TRUNK,59009.0,94009.0,11-13,09-14,12-14,14-15,No Loop
534,853C,SMRT,2,TRUNK,94009.0,59009.0,12-18,10-15,12-14,13-15,No Loop
535,854,SMRT,1,TRUNK,59009.0,84009.0,05-07,05-11,07,07-12,No Loop
536,854,SMRT,2,TRUNK,84009.0,59009.0,04-08,05-11,06-07,07-13,No Loop
537,854e,SMRT,1,EXPRESS,59009.0,84009.0,15-24,-,-,-,No Loop
538,855,SMRT,1,TRUNK,59009.0,14009.0,10-11,10-15,13-15,12-15,No Loop
539,855,SMRT,2,TRUNK,14009.0,59009.0,12-13,09-14,12-13,12-14,No Loop
540,856,SMRT,1,TRUNK,59009.0,46009.0,05-06,05-10,05-07,05-11,No Loop
541,856,SMRT,2,TRUNK,46009.0,59009.0,04-06,05-11,03-07,02-11,No Loop
542,856A,SMRT,1,TRUNK,46009.0,46069.0,-,-,30-40,-,No Loop
543,857,SMRT,1,TRUNK,59009.0,59009.0,03-07,05-09,06-10,08-10,Temasek Ave
544,857A,SMRT,1,TRUNK,59009.0,55081.0,12,-,-,-,No Loop
545,858,SMRT,1,TRUNK,46009.0,46009.0,05-09,05-09,05-09,06-10,PTB2 Basement
546,858A,SMRT,1,TRUNK,46009.0,59073.0,-,-,-,11,No Loop
547,859,SMRT,1,TRUNK,58009.0,58009.0,08-10,08-12,10-11,12-13,Yishun Temp Int
548,859A,SMRT,1,TRUNK,58009.0,58009.0,08-20,08-36,10-22,12-25,Admiralty Link
549,859B,SMRT,1,TRUNK,58009.0,58009.0,08-24,08-25,09-22,11-24,Sembawang Cres
