,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
180,163,SBST,2,TRUNK,52009,67009,10-15,07-18,07-15,10-17,
181,163A,SBST,1,TRUNK,67009,67651,-,-,-,16-17,
182,165,SBST,1,TRUNK,64009,17009,08-14,09-17,10-11,13-17,
183,165,SBST,2,TRUNK,17009,64009,10-12,09-14,09-15,12-15,
184,166,SBST,1,TRUNK,54009,17009,08-10,08-19,09-13,13-19,
185,166,SBST,2,TRUNK,17009,54009,09-11,06-16,10-18,13-19,
186,168,SBST,1,TRUNK,84009,46009,5-9,6-11,6-11,10-13,
187,168,SBST,2,TRUNK,46009,84009,5-7,6-12,6-9,8-12,
188,170,SBST,1,TRUNK,01109,46239,12-18,13-20,18-19,12-15,
189,170,SBST,2,TRUNK,46239,01109,14-15,13-18,17-18,13-18,
190,170A,SBST,1,TRUNK,01109,46069,19-21,16-28,20-21,15-21,
191,170X,SBST,1,TRUNK,45131,47711,04-09,05-17,05-09,07-11,
192,170X,SBST,2,TRUNK,47711,45139,06-10,05-17,05-09,07-11,
193,174,SBST,1,TRUNK,22009,10499,09-10,05-14,12-19,12-19,
194,174,SBST,2,TRUNK,10499,22009,14-15,08-14,12-15,14-16,
195,174e,SBST,1,EXPRESS,22009,10499,13-13,-,-,-,
196,174e,SBST,2,EXPRESS,10499,22009,-,-,13-14,-,
197,175,SBST,1,TRUNK,17009,80009,11-15,10-20,15-15,17-19,
198,175,SBST,2,TRUNK,80009,17009,10-13,12-19,11-18,20-20,
199,179,SBST,1,TRUNK,22009,22009,04-08,03-06,04-06,05-07,Nanyang Dr
200,179A,SBST,1,TRUNK,22009,22009,02-07,04-08,-,-,Nanyang Dr
201,18,SBST,1,TRUNK,75019,75019,11-14,12-17,15-17,12-15,Bedok Nth Dr
202,181,SBST,1,TRUNK,22009,22009,6-8,6-10,6-8,7-12,Jurong West Ave 3
203,181M,SBST,1,TRUNK,22009,22009,06-07,-,-,-,Jurong West St 23
204,182,SBST,1,TRUNK,24009,24009,07-09,08-18,-,17-18,Tuas Sth Ave 9
205,182M,SBST,1,TRUNK,24009,24009,-,07-19,08-11,11-19,Tuas Sth Ave 9
206,185,SBST,1,TRUNK,22609,11389,10-18,11-18,12-15,13-15,
207,185,SBST,2,TRUNK,11379,22199,10-17,10-15,10-20,14-16,
208,186,SBST,1,TRUNK,03239,52499,14-17,11-19,11-14,11-17,
209,186,SBST,2,TRUNK,52499,03239,9-14,11-18,14-19,15-19,
210,19,SBST,1,TRUNK,75009,75009,06-07,06-16,06-08,08-14,Airport Cargo Rd
211,191,SBST,1,TRUNK,11379,11379,15-20,15-20,15-15,20-20,Media Circle
212,192,SBST,1,TRUNK,22009,25009,06-10,07-15,07-10,07-13,
213,192,SBST,2,TRUNK,25009,22009,08-09,07-13,05-09,13-14,
214,193,SBST,1,TRUNK,22009,25009,06-10,05-19,07-18,07-19,
215,193,SBST,2,TRUNK,25009,22009,09-18,07-19,07-09,08-18,
216,194,SBST,1,TRUNK,22009,22009,09-10,09-13,09-16,15-16,Jln Ahmad Ibrahim
217,195,SBST,1,TRUNK,02099,02089,08-13,07-23,08-17,08-16,C'wealth Ave
218,195A,SBST,1,TRUNK,02099,10169,-,23-53,-,-,C'wealth Ave
219,196,SBST,1,TRUNK,84009,17009,07-08,06-17,09-11,09-14,
220,196,SBST,2,TRUNK,17009,84009,11-14,05-15,08-13,11-13,
221,196A,SBST,1,TRUNK,84009,03218,-,-,-,-,
222,196e,SBST,1,EXPRESS,93049,03218,08-08,-,-,-,
223,196e,SBST,2,EXPRESS,03222,93041,-,-,08-08,-,
224,197,SBST,1,TRUNK,84009,28009,10-11,08-18,10-16,11-18,
225,197,SBST,2,TRUNK,28009,84009,07-16,09-18,10-15,13-15,
226,198,SBST,1,TRUNK,22009,10009,4-9,5-12,6-8,6-14,
227,198,SBST,2,TRUNK,10009,22009,4-9,5-12,5-9,9-13,
228,198A,SBST,1,TRUNK,22009,28459,-,-,09-17,08-19,
229,199,SBST,1,TRUNK,22009,22009,04-09,04-16,06-08,06-15,Nanyang Cres
230,1N,SBST,1,NIGHT SERVICE,02099,59561,-,-,-,40-40,
231,20,SBST,1,TRUNK,75009,75009,09-11,10-13,10-12,11-15,Changi Business Pk Ave 3
232,200,SBST,1,TRUNK,11379,11389,9-10,9-30,9-10,14-27,Clementi Rd
233,200A,SBST,1,TRUNK,11379,16009,-,-,-,-,Clementi Rd
234,201,SBST,1,TRUNK,16009,16009,10-12,11-15,10-14,12-15,Pandan Gdns
235,21,SBST,1,TRUNK,77009,52499,07-12,08-15,11-14,12-14,
236,21,SBST,2,TRUNK,52499,77009,09-11,08-14,09-14,12-15,
237,21A,SBST,1,TRUNK,80089,07231,-,-,05-24,-,
238,22,SBST,1,TRUNK,54009,75009,08-10,10-18,08-10,13-18,
239,22,SBST,2,TRUNK,75009,54009,09-10,09-17,09-10,10-15,
240,222,SBST,1,FEEDER,84009,84009,04-07,04-10,05-06,05-14,Chai Chee Dr
241,222A,SBST,1,FEEDER,84009,84039,26-26,-,-,-,
242,222B,SBST,1,FEEDER,84039,84031,31-45,-,35-35,46-46,Chai Chee Dr
243,225G,SBST,1,FEEDER,84009,84009,03-05,03-13,03-06,04-12,Bedok Nth St 3
244,225W,SBST,1,FEEDER,84009,84009,04-06,05-09,04-07,04-10,Bedok Nth St 3
245,228,SBST,1,FEEDER,84009,84009,8-9,8-17,8-10,9-26,Bedok Reservoir Rd
246,229,SBST,1,FEEDER,84009,84009,7-9,8-14,7-9,7-16,Bedok Sth Rd
247,23,SBST,1,TRUNK,75009,75009,06-07,05-12,06-09,08-16,Rochor Canal Rd
248,231,SBST,1,FEEDER,52009,52009,9-9,8-13,9-10,9-11,Lor 5 Toa Payoh
249,232,SBST,1,FEEDER,52009,52009,05-06,05-09,05-06,05-11,Toa Payoh East
250,235,SBST,1,FEEDER,52009,52009,6-8,7-10,7-8,7-11,Toa Payoh Rise
251,238,SBST,1,FEEDER,52009,52009,3-6,2-7,2-6,3-6,Lor 8 Toa Payoh
252,24,SBST,1,TRUNK,54009,54009,08-09,08-11,08-13,13-15,PTB2 Basement
253,240,SBST,1,FEEDER,22009,22009,7-8,6-10,6-9,8-12,Jln Ahmad Ibrahim
254,240A,SBST,1,FEEDER,21581,28091,05-14,-,-,-,
255,240M,SBST,1,TRUNK,28091,28099,18-18,-,18-18,-,Jurong West St 64
256,241,SBST,1,FEEDER,22009,22009,5-7,3-9,3-4,3-8,Jurong West St 91
257,241A,SBST,1,FEEDER,27271,22529,05-16,05-20,-,-,Jurong West St 91
258,242,SBST,1,FEEDER,22009,22009,6-7,6-10,6-9,6-10,Jurong West Ave 5
259,243G,SBST,1,FEEDER,22009,22009,05-06,03-06,04-04,04-08,Jurong West Ave 5
260,243W,SBST,1,FEEDER,22009,22009,05-08,03-07,03-05,03-10,Jurong West Ave 5
261,246,SBST,1,INDUSTRIAL,22009,22009,11-12,11-16,11-14,15-19,Boon Lay Dr
262,247,SBST,1,INDUSTRIAL,25009,25009,10-10,10-15,10-13,13-15,Tuas Bay Link
263,248,SBST,1,INDUSTRIAL,25009,25009,10-10,10-15,10-12,12-15,Tuas Sth Ave 14
264,249,SBST,1,INDUSTRIAL,22009,22009,6-9,6-18,8-10,13-26,Jln Samulun
265,25,SBST,1,TRUNK,54009,94009,05-06,05-11,05-08,12-16,
266,25,SBST,2,TRUNK,94009,54009,05-06,05-11,05-06,06-14,
267,251,SBST,1,INDUSTRIAL,22009,22009,06-07,08-18,08-11,11-18,Shipyard Rd
268,252,SBST,1,INDUSTRIAL,22009,22009,8-10,7-18,7-9,8-20,Joo Koon Rd
269,253,SBST,1,INDUSTRIAL,24009,24009,09-10,10-14,10-12,12-14,Benoi Rd
270,254,SBST,1,TRUNK,24009,24009,07-08,07-14,07-11,11-15,Tuas Ave 11
271,255,SBST,1,INDUSTRIAL,24009,24009,07-07,07-11,07-07,10-14,Gul Cres
272,257,SBST,1,INDUSTRIAL,24009,24009,6-6,6-15,6-6,6-16,Pioneer Sector 2
273,258,SBST,1,INDUSTRIAL,24009,24009,10-12,11-14,11-14,11-14,Jurong West St 64
274,26,SBST,1,TRUNK,84009,52009,08-09,08-13,08-10,08-13,
275,26,SBST,2,TRUNK,52009,84009,07-10,08-11,09-10,09-13,
276,261,SBST,1,FEEDER,54009,54009,04-05,05-07,04-06,05-09,Ang Mo Kio Ave 10
277,262,SBST,1,FEEDER,54009,54009,07-08,10-12,07-10,08-15,Ang Mo Kio Ave 2
278,265,SBST,1,FEEDER,55009,55009,05-07,05-11,05-07,07-13,Ang Mo Kio Ave 10
279,268,SBST,1,FEEDER,55009,55009,06-08,07-13,07-08,07-14,Ang Mo Kio Ave 5
280,268A,SBST,1,FEEDER,55009,54659,28-30,-,-,-,Ang Mo Kio Ave 5
281,268B,SBST,1,FEEDER,55309,54261,34-35,-,33-33,-,
282,268C,SBST,1,FEEDER,54269,55301,31-31,-,34-34,-,
283,269,SBST,1,FEEDER,54009,54009,04-06,04-08,04-06,05-14,Ang Mo Kio St 61
284,269A,SBST,1,FEEDER,54009,55169,-,19-22,16-26,11-51,Ang Mo Kio St 61
285,27,SBST,1,TRUNK,64009,64009,06-08,06-08,07-10,09-11,PTB2 Basement
286,272,SBST,1,FEEDER,10009,10009,8-10,7-16,8-12,12-16,Telok Blangah Rise
287,273,SBST,1,FEEDER,10009,10009,7-9,7-12,8-10,8-14,Henderson Rd
288,27A,SBST,1,TRUNK,67261,76139,05-12,07-08,-,-,
289,28,SBST,1,TRUNK,75009,52009,09-12,07-14,13-16,13-14,
290,28,SBST,2,TRUNK,52009,75009,09-14,07-15,07-11,12-17,
291,29,SBST,1,TRUNK,75009,75009,08-10,07-15,09-10,09-20,Changi Village Rd
292,291,SBST,1,FEEDER,75009,75009,03-05,03-09,03-06,05-12,Tampines St 81
293,292,SBST,1,FEEDER,75009,75009,08-08,09-15,08-08,10-15,Tampines St 22
294,293,SBST,1,FEEDER,75009,75009,04-06,04-08,04-08,06-14,Tampines St 71
295,298,SBST,1,FEEDER,75019,75019,10-10,10-12,10-12,10-16,Tampines Street 86
296,29A,SBST,1,TRUNK,75009,76241,-,-,26-38,36-36,
297,2N,SBST,1,NIGHT SERVICE,02099,75109,-,-,-,40-40,
298,30,SBST,1,TRUNK,84009,22009,08-09,06-18,14-15,11-16,
299,30,SBST,2,TRUNK,22009,84009,09-10,08-15,08-15,11-18,
300,30e,SBST,1,EXPRESS,84009,16061,12-12,-,-,-,
301,30e,SBST,2,EXPRESS,16069,84009,-,-,12-12,-,
302,31,SBST,1,TRUNK,75009,52009,06-11,06-17,09-11,14-15,
303,31,SBST,2,TRUNK,52009,75009,09-09,08-16,09-10,13-17,
304,315,SBST,1,FEEDER,66009,66009,8-9,8-14,9-10,10-14,S'goon Nth Ave 5
305,317,SBST,1,FEEDER,66009,66009,7-9,8-16,8-10,9-17,Berwick Dr
306,31A,SBST,1,TRUNK,75009,85099,08-11,10-29,-,-,
307,32,SBST,1,TRUNK,84009,11389,10-17,10-18,14-18,15-17,
308,32,SBST,2,TRUNK,11379,84009,12-14,09-20,12-13,15-19,
309,324,SBST,1,FEEDER,64009,64009,09-10,09-15,09-10,09-15,Upp Serangoon View
310,325,SBST,1,FEEDER,64009,64009,9-10,9-13,9-10,10-13,Hougang St 91
311,329,SBST,1,FEEDER,64009,64009,10-10,12-12,10-12,10-15,Buangkok Cres
312,33,SBST,1,TRUNK,84009,16009,09-16,09-16,12-14,12-15,
313,33,SBST,2,TRUNK,16009,84009,08-14,08-16,09-11,11-16,
314,33A,SBST,1,TRUNK,16009,10149,-,-,-,-,
315,33B,SBST,1,TRUNK,84009,81179,17-17,09-41,-,-,
316,35,SBST,1,TRUNK,84009,84009,09-10,09-15,09-15,15-15,Alps Ave
317,35M,SBST,1,TRUNK,84009,84009,-,-,-,15-20,Tanah Merah Ferry Rd
318,37,SBST,1,TRUNK,75009,75009,09-09,09-17,10-12,12-12,Changi Nth Cres
319,371,SBST,1,FEEDER,67009,67009,10-10,8-13,10-13,8-14,Rivervale Cres
320,372,SBST,1,FEEDER,67009,67009,7-9,8-12,9-10,8-11,Punggol Rd
321,374,SBST,1,FEEDER,67759,67759,11-11,12-12,10-12,11-15,Fernvale Rd
322,38,SBST,1,TRUNK,75009,84009,09-10,09-14,09-14,12-15,
323,38,SBST,2,TRUNK,84009,75009,09-10,08-14,09-10,11-16,
324,39,SBST,1,TRUNK,75019,59009,07-13,08-15,08-10,14-18,
325,39,SBST,2,TRUNK,59009,75019,08-12,07-14,09-10,13-16,
326,3N,SBST,1,NIGHT SERVICE,02099,45301,-,-,-,40-40,
327,4,SBST,1,TRUNK,75009,75009,10-12,11-13,10-13,11-12,Changi Nth Way
328,40,SBST,1,TRUNK,84009,84009,12-14,13-18,15-18,18-20,Merpati Rd
329,400,SBST,1,TRUNK,03239,03239,15-15,18-20,14-15,19-20,Marina Gdns Dr
